model_name,alpha,tau,NDCG@10,NDCG@20,HR@10,HR@20,LongTail_HR@10,CatalogCoverage,Serendipity,ILD@10,training_time_sec,inference_time_sec,debias_variant,cold_decay
ColdBridge-BGE2SASRec,,15.0,0.0581216813667478,0.07138842917897922,0.09409190371991247,0.1487964989059081,0.09409190371991247,0.5288862418106015,0.09190371991247265,0.17368327333903677,14.47699086900002,1.698569292999764,,
ColdBridge-BGE2SASRec,,5.0,0.05780905886748101,0.0706460497282474,0.09409190371991247,0.14660831509846828,0.09409190371991247,0.5157832042882668,0.09190371991247265,0.18754477919582727,14.47699086900002,1.698569292999764,,
ColdBridge-BGE2SASRec,,10.0,0.05732522851453805,0.07059197632676946,0.09190371991247265,0.14660831509846828,0.09190371991247265,0.5270994639666469,0.08971553610503283,0.17845413995258658,14.47699086900002,1.698569292999764,,
ColdBridge-BGE2SASRec,,3.0,0.05437509072322147,0.06561626841925255,0.09190371991247265,0.13785557986870897,0.09190371991247265,0.5068493150684932,0.087527352297593,0.19281148043190102,14.47699086900002,1.698569292999764,,
ColdBridge-BGE2SASRec,,2.0,0.052916301518261585,0.06426509650111642,0.09190371991247265,0.13785557986870897,0.09190371991247265,0.4925550923168553,0.087527352297593,0.19826424892999933,14.47699086900002,1.698569292999764,,
SASRec,,,0.04722012141016376,0.05543618456721476,0.10065645514223195,0.13347921225382933,0.10065645514223195,0.3013698630136986,0.08971553610503283,0.2132082155027327,15.2790923499997,0.9391859809998095,,
BGE2SASRec,,,0.04611734124792456,0.05856960410413121,0.08533916849015317,0.13566739606126915,0.08533916849015317,0.31745086360929126,0.07658643326039387,0.21312945164919422,14.47699086900002,1.698569292999764,,
PopDebias-ColdBridge-rank,0.1,15.0,0.03137420647979369,0.043817443139495676,0.0525164113785558,0.10284463894967177,0.0525164113785558,0.37224538415723646,0.03938730853391685,0.17476599813485824,14.47699086900002,1.698569292999764,rank,
PopDebias-ColdBridge-rank,0.3,15.0,0.031129369625622925,0.04296783690246578,0.05032822757111598,0.09846827133479212,0.05032822757111598,0.37998808814770696,0.037199124726477024,0.1780917655423903,14.47699086900002,1.698569292999764,rank,
PopDebias-ColdBridge-rank,0.5,15.0,0.031129369625622925,0.043380743950222594,0.05032822757111598,0.10065645514223195,0.05032822757111598,0.38117927337701013,0.037199124726477024,0.1787093779809887,14.47699086900002,1.698569292999764,rank,
PopDebias-ColdBridge-WeightedCold,0.1,15.0,0.030575151898876586,0.039357907401302,0.04814004376367615,0.08315098468271334,0.04814004376367615,0.4586063132817153,0.04814004376367615,0.15362477300920946,14.47699086900002,1.698569292999764,,0.8
PopDebias-ColdBridge-WeightedCold,0.1,15.0,0.030304239908771513,0.039654516620785896,0.045951859956236324,0.08315098468271334,0.045951859956236324,0.46873138773079215,0.045951859956236324,0.15348526768598306,14.47699086900002,1.698569292999764,,0.7
PopDebias-ColdBridge-WeightedCold,0.1,15.0,0.03009436635638251,0.039826310041344896,0.04157549234135667,0.08096280087527352,0.04157549234135667,0.5044669446098868,0.04157549234135667,0.1535618374495068,14.47699086900002,1.698569292999764,,0.5
PopDebias-ColdBridge-sigmoid,0.1,15.0,0.027767749224680796,0.036823384441671644,0.04157549234135667,0.0787746170678337,0.04157549234135667,0.45503275759380585,0.04157549234135667,0.15470567598319418,14.47699086900002,1.698569292999764,sigmoid,
PopDebias-ColdBridge-WeightedCold,0.1,15.0,0.026507708835470684,0.03750836008728124,0.03938730853391685,0.08315098468271334,0.03938730853391685,0.4580107206670637,0.03938730853391685,0.15367119441408036,14.47699086900002,1.698569292999764,,0.9
PopDebias-ColdBridge-log_norm,0.1,15.0,0.02601476040322437,0.035207226571891834,0.03938730853391685,0.07658643326039387,0.03938730853391685,0.45681953543776055,0.03938730853391685,0.15384505350036745,14.47699086900002,1.698569292999764,log_norm,
PopDebias-ColdBridge-WeightedCold,0.1,15.0,0.02601476040322437,0.035207226571891834,0.03938730853391685,0.07658643326039387,0.03938730853391685,0.45681953543776055,0.03938730853391685,0.15384505350036745,14.47699086900002,1.698569292999764,,1.0
FULL_SYSTEM,0.1,15.0,0.02601476040322437,0.035207226571891834,0.03938730853391685,0.07658643326039387,0.03938730853391685,0.45681953543776055,0.03938730853391685,0.15384505350036745,14.47699086900002,1.698569292999764,log_norm,1.0
PopDebias-ColdBridge-sigmoid,0.5,15.0,0.02562961761368449,0.032512422839945515,0.03938730853391685,0.06783369803063458,0.03938730853391685,0.5157832042882668,0.03938730853391685,0.16853443569049273,14.47699086900002,1.698569292999764,sigmoid,
PopDebias-ColdBridge-sigmoid,0.3,15.0,0.025168255354571106,0.03370942445402404,0.037199124726477024,0.07221006564551423,0.037199124726477024,0.4991066110780226,0.037199124726477024,0.16439262748221078,14.47699086900002,1.698569292999764,sigmoid,
PopDebias-ColdBridge-BGE2SASRec,0.1,15.0,0.024191461852695422,0.031713687811143754,0.0350109409190372,0.06564551422319474,0.0350109409190372,0.5294818344252531,0.0350109409190372,0.17043043410556322,14.47699086900002,1.698569292999764,,
PopDebias-ColdBridge-log_norm,0.3,15.0,0.024039769419595625,0.0315117001464437,0.0350109409190372,0.06564551422319474,0.0350109409190372,0.5318642048838594,0.0350109409190372,0.16982274179711646,14.47699086900002,1.698569292999764,log_norm,
PopDebias-ColdBridge-log_norm,0.5,15.0,0.023097369948975512,0.03169409087992357,0.03282275711159737,0.06783369803063458,0.03282275711159737,0.547945205479452,0.03282275711159737,0.17489339390064484,14.47699086900002,1.698569292999764,log_norm,
MostPopular,,,0.013184876133883739,0.017896159969164473,0.030634573304157548,0.05032822757111598,0.030634573304157548,0.024419297200714712,0.00437636761487965,0.23706477512024685,0.0,0.03745541399985086,,
PopDebias-BGE2SASRec,0.1,,0.005704680410946206,0.011366275595241436,0.010940919037199124,0.03282275711159737,0.010940919037199124,0.4288266825491364,0.010940919037199124,0.19852529938946145,14.47699086900002,1.698569292999764,,
PopDebias-BGE2SASRec,0.5,,0.002582471868629624,0.007417141438380933,0.0087527352297593,0.028446389496717725,0.0087527352297593,0.43597379392495533,0.0087527352297593,0.22143729944067397,14.47699086900002,1.698569292999764,,
PopDebias-BGE2SASRec,0.7,,0.001976126886196813,0.0069353784947694935,0.006564551422319475,0.0262582056892779,0.006564551422319475,0.43478260869565216,0.006564551422319475,0.22294036215843727,14.47699086900002,1.698569292999764,,
PopDebias-BGE2SASRec,0.3,,0.0019553490796969464,0.007899839062040673,0.006564551422319475,0.030634573304157548,0.006564551422319475,0.43537820131030375,0.006564551422319475,0.21771057846770506,14.47699086900002,1.698569292999764,,
